"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q22","Q23","Q24","finance","infotech","space","library","lab","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q33","htopicmen","hresearchmen","hwritingmen","hacadmen","hnonacadmen","hemploymen","Q38","Q39","Q40","Q42","Q43","Q45","Q46","Q47","Q48","Q49","Q78","Q90_1","Q90_2","Q92_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"11","College B","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Definitely","Definitely","Definitely","Very good","Very good","Very good","Very good","Very good","Fair","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Very Good","Very Good","Very Good","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,"Yes","Yes","Very helpful","10","4","Yes","3","5","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Probably","Definitely","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"12","College C","STEM","Very good","Excellent","Excellent","Agree","Agree","Agree","Agree","Definitely","Probably","Definitely","Good","Good","Good","Fair","Excellent","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Excellent","Very Good","Very Good","Excellent","Excellent","Very helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Very helpful","Yes","Yes","Very helpful","4","4","Yes","1","0","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Definitely","Probably","Definitely","Very good","Very good","Very good","Good","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"13","College C","STEM","Very good","Good","Very good","Strongly Agree","Agree","Agree","Agree","Probably","Probably","Probably","Very good","Excellent","Very good","Very good","Good","Good","Very good","Yes, and I attended","Somewhat Effective","No","No","Excellent","Good","Very Good",NA,"N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Not very helpful","N/A - I did not receive advice on this","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","No",NA,"2","2","Yes","0","0","Seeking position but have no specific prospects",NA,NA,NA,NA,"Maybe","Maybe","Probably","Very good","Excellent","Very good","Very good","Good","Good","Very good","Strongly Agree","Agree","Agree","Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable",2,2,2,5,"Non-Underrespresented Group"
"14","College B","STEM","Excellent","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Probably","Definitely","Excellent","Excellent","Excellent","Excellent","Good","Good","Excellent","I don't remember",NA,"No","No","Excellent","Very Good","Very Good","Very Good","Excellent","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Somewhat helpful","9","7","Yes","5","0","Seeking position but have no specific prospects",NA,NA,NA,NA,"Definitely","Probably","Definitely","Excellent","Excellent","Excellent","Excellent","Very good","Good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,1,"Non-Underrespresented Group"
"15","College G","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Probably","Probably","Definitely","Excellent","Very good","Very good","Very good","Very good","Very good","Very good","Yes, and I attended","Very Effective","Yes","Yes","Good","Very Good","N/A","Very Good","N/A","Very helpful","Very helpful","Very helpful","Somewhat helpful","Somewhat helpful","N/A - I did not receive advice on this","Yes","No","N/A - I did not receive advice on this","Somewhat helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","N/A - I did not receive advice on this","No",NA,"No","No",NA,"3","20","No","4","3","Returning to, or continuing in, predoctoral employment","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Maybe","Probably","Definitely","Excellent","Excellent","Excellent","Excellent","Good","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Agree","A minor obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,6,"Non-Underrespresented Group"
"16","College B","STEM","Fair","Good","Fair","Ambivalent","Disagree","Agree","Agree","Definitely not","Definitely","Maybe","Fair","Fair","Fair","Good","Good","Very good","Fair","I don't remember",NA,"Yes","No","Very Good","Fair","Good","Good","Good","Somewhat helpful","Not very helpful","Very helpful","Not very helpful","Not very helpful","Not very helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Very helpful","9","2","Yes","0","1","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Consulting Services (Economics, Physics, Biological, Chemical, Environmental, Energy, etc.)","Management Occupations","Yes","Definitely not","Probably","Maybe","Fair","Fair","Fair","Good","Fair","Very good","Fair","Ambivalent","Disagree","Agree","Agree","Not an obstacle","Not an obstacle","A major obstacle","A major obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"17","College C","STEM","Excellent","Very good","Excellent","Strongly Agree","Strongly Agree","Agree","Agree","Definitely","Definitely","Definitely","Excellent","Excellent","Excellent","Very good","Excellent","Good","Excellent","Yes, and I attended","Neither Effective nor Ineffective","No","No","Very Good","Poor","Good","Good","Good","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Not at all helpful","Very helpful","Very helpful","Not at all helpful","Not at all helpful","Not at all helpful","Yes","Somewhat helpful","Yes","Yes","Very helpful","5","18","Yes","3","4","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Other Professional, Scientific, and Technical Services","Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Excellent","Excellent","Very good","Excellent","Very good","Excellent","Agree","Strongly Agree","Agree","Agree","Not applicable","A minor obstacle","Not an obstacle","Not an obstacle","A minor obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"18","College F","STEM","Very good","Very good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Probably","Maybe","Definitely","Very good","Excellent","Very good","Excellent","Excellent","Good","Very good","Yes, and I attended","Very Effective","Yes","No","Fair","Fair","Good","Good","Good","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","Yes","Yes","Very helpful","0","2","Yes","2","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Maybe","Probably","Very good","Very good","Good","Very good","Very good","Fair","Very good","Agree","Agree","Strongly Agree","Strongly Agree","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,1,"Non-Underrespresented Group"
"19","College F","STEM","Very good","Good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Probably","Probably","Probably","Very good","Very good","Very good","Very good","Excellent","Very good","Very good","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Very Good","Fair","Excellent","Good","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","Somewhat helpful","Somewhat helpful","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","Yes","Very helpful","2","2","Yes","1","2","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Architecture and Engineering Occupations",NA,"Probably","Probably","Probably","Very good","Very good","Very good","Very good","Very good","Very good","Very good","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"20","College C","STEM","Very good","Very good","Very good","Agree","Agree","Agree","Agree","Probably","Probably","Probably","Good","Excellent","Excellent","Very good","Fair","Good","Excellent","Yes, and I attended","Somewhat Effective","Yes","Yes","Excellent","Very Good","Good","Very Good","Very Good","Very helpful","Very helpful","Very helpful","Very helpful","Not very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Not very helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","4","5","Yes","7","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education","4-year college or university","Scientists, Social Scientists","Yes","Probably","Probably","Probably","Very good","Excellent","Excellent","Very good","Fair","Good","Excellent","Agree","Agree","Agree","Agree","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"21","College B","STEM","Good","Very good","Very good","Agree","Agree","Strongly Agree","Strongly Agree","Probably","Definitely","Definitely","Fair","Fair","Very good","Good","Good","Excellent","Very good","Yes, and I attended","Very Effective","Yes","Yes","Good","Good","Fair","Good","Very Good","Very helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Not very helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","No",NA,"20","8","Yes","9","2","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Definitely","Definitely","Fair","Fair","Very good","Good","Good","Excellent","Very good","Agree","Agree","Strongly Agree","Strongly Agree","A minor obstacle","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"22","College F","STEM","Very good","Good","Very good","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Definitely","Definitely","Maybe","Very good","Good","Very good","Excellent","Good","Fair","Very good","Yes, and I attended","Very Effective","Yes","No","Excellent","Very Good","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","No",NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","Yes","Very helpful","2","6","Yes","6","3","Have signed contract or made definite commitment for a ""postdoc"" or other work","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","No","Definitely","Definitely","Maybe","Very good","Good","Very good","Excellent","Good","Good","Very good","Agree","Strongly Agree","Agree","Strongly Agree","Not an obstacle","A major obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"23","College G","STEM","Very good","Very good","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Excellent","Excellent","Excellent","Excellent","Very good","Excellent","Yes, and I attended","Very Effective","Yes","Yes","Excellent","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Very helpful","Yes","No",NA,"5 at least","6 or 7","Yes","4","2 under review, more in process","Have signed contract or made definite commitment for a ""postdoc"" or other work","Education",NA,"Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"24","College C","STEM","Good","Fair","Good","Ambivalent","Ambivalent","Ambivalent","Ambivalent","Maybe","Probably not","Probably not","Good","Fair","Poor","Fair","Very good","Poor","Good","Yes, and I attended","Neither Effective nor Ineffective","Yes","Yes","Fair","Good","Poor","Good","Fair","Very helpful","Very helpful","Somewhat helpful","Not very helpful","Not at all helpful","Not at all helpful","No",NA,NA,NA,NA,NA,NA,NA,"Yes","Somewhat helpful","No","Yes","Somewhat helpful","0","1","Yes","2","1","Seeking position but have no specific prospects","Museums, Arts, Entertainment, and Recreation",NA,"Scientists, Social Scientists","Yes","Probably not","Definitely not","Maybe","Good","Fair","Fair","Good","Very good","Poor","Fair","Ambivalent","Ambivalent","Ambivalent","Agree","A major obstacle","A minor obstacle","A minor obstacle","A major obstacle","Not an obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
"25","College F","STEM","Excellent","Excellent","Excellent","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Definitely","Definitely","Definitely","Very good","Very good","Fair","Excellent","Excellent","Excellent","Excellent","Yes, and I attended","Somewhat Effective","Yes","No","N/A","Excellent","Excellent","Excellent","Excellent","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","No","Very helpful","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","No","Yes","Very helpful","20","2","Yes","3","1","Returning to, or continuing in, predoctoral employment","Technology",NA,"Scientists, Social Scientists","Yes","Definitely","Definitely","Definitely","Very good","Very good","Fair","Excellent","Excellent","Excellent","Excellent","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"26","College C","STEM","Very good","Very good","Very good","Agree","Agree","Ambivalent","Strongly Agree","Probably","Maybe","Definitely","Very good","Good","Good","Very good","Excellent","Good","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Excellent","Very Good","Excellent","N/A","Very helpful","Somewhat helpful","Very helpful","Very helpful","Not very helpful","Somewhat helpful","Yes","Yes","Somewhat helpful","Very helpful","Not very helpful","Very helpful","Very helpful","Somewhat helpful","Yes","Very helpful","No","Yes","Very helpful","13","7","Yes","0","1","Seeking position but have no specific prospects","Research, Consulting, and Legal Services","Scientific Research (including Social research in Humanities)","Scientists, Social Scientists","Yes","Probably","Maybe","Probably","Good","Good","Fair","Good","Very good","Fair","Good","Agree","Agree","Agree","Agree","A minor obstacle","Not an obstacle","A minor obstacle","A minor obstacle","Not an obstacle","Not applicable",2,1,2,5,"Non-Underrespresented Group"
"27","College C","Non-STEM","Excellent","Good","Very good","Strongly Agree","Agree","Disagree","Ambivalent","Probably","Probably","Maybe","Very good","Very good","Excellent","Very good","Good","Fair","Very good","Yes, and I attended","Somewhat Effective","Yes","No","Very Good","Good","Good","Good","N/A","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","Yes","Yes","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","Not very helpful","Somewhat helpful","Yes","Very helpful","No","Yes","Very helpful","0","6","Yes","2","0","Other - Specify:",NA,NA,NA,NA,"Probably","Probably","Maybe","Very good","Excellent","Excellent","Very good","Good","Fair","Good","Strongly Agree","Agree","Ambivalent","Disagree","A minor obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"28","College F","STEM","Good","Good","Good","Agree","Agree","Agree","Strongly Agree","Maybe","Probably","Maybe","Good","Very good","Good","Fair","Good","Very good","Good","Yes, and I attended","Somewhat Effective","Yes","No","Good","Excellent","Very Good","Very Good","Very Good","Somewhat helpful","Somewhat helpful","Somewhat helpful","Very helpful","Somewhat helpful","Very helpful","Yes","No","Somewhat helpful","Somewhat helpful","Not very helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Yes","Very helpful","Yes","Yes","Very helpful","5","6","Yes","2","1","Negotiating with one or more specific organizations","Technology",NA,"Scientists, Social Scientists","Yes","Maybe","Probably","Probably not","Good","Very good","Good","Fair","Good","Very good","Good","Agree","Agree","Agree","Strongly Agree","A minor obstacle","Not an obstacle","A major obstacle","A minor obstacle","Not an obstacle","Not an obstacle",1,1,2,5,"Non-Underrespresented Group"
"29","College C","Non-STEM","Fair","Fair","Fair","Ambivalent","Ambivalent","Ambivalent","Agree","Probably not","Probably not","Probably not","Fair","Fair","Fair","Fair","Fair","Poor","Fair","Yes, and I attended","Somewhat Ineffective","Yes","Yes","Fair","Fair","Poor","Fair","Poor","Not very helpful","Not very helpful","Not very helpful","Not very helpful","Not at all helpful","Not at all helpful","Yes","No","N/A - I did not receive advice on this","Very helpful","Very helpful","N/A - I did not receive advice on this","N/A - I did not receive advice on this","N/A - I did not receive advice on this","Yes","Somewhat helpful","No","Yes","Somewhat helpful","0","16","Yes","1","0","Seeking position but have no specific prospects",NA,NA,NA,NA,"Probably not","Probably not","Probably not","Fair","Fair","Fair","Fair","Fair","Poor","Fair","Ambivalent","Ambivalent","Ambivalent","Agree","A minor obstacle","A minor obstacle","A major obstacle","A minor obstacle","A minor obstacle","Not an obstacle",2,1,2,5,"Non-Underrespresented Group"
