"","Q8","STEM_Non-STEM","satacad","satlife","satoverall","respect9","intclimate10","socclimate11","collegial12","sameuniv13","samefield14","recommend15","curriculum16","teaching17","advising18","candidacy19","interdisc20","employment21","progqual22","Q21","Q23","Q24","htopicadv","hresearchadv","hwritingadv","hacadadv","hnonacadadv","hemployadv","Q32","Q38","Q39","Q40","Q42","Q45","Q46","Q47","Q48","Q49","Q90_1","Q99","sameuniv91","samefield92","recommend93","curriculum94","teaching95","advising96","candidacy97","interdisc98","employment99","progqual100","respect101","intclimate102","socclimate103","collegial104","workcomm","family","availfac","progreq","coursesched","immigration","Sex_ANOVA_Code","Citizenship_ANOVA_Code","Hispanic_Latino_ANOVA_Code","Race_Ethnicy_ANOVA_Code","Underrepresented"
"11",3,1,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,2,4,1,1,1,4,4,4,4,4,4,1,0,NA,1,1,"10","4",1,"3","5",1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,5,1
"12",1,1,4,5,5,4,4,4,4,5,4,5,3,3,3,2,5,4,4,1,1,0,4,4,3,4,3,4,0,1,4,1,1,"4","4",1,"1","0",1,1,5,4,5,4,4,4,3,4,4,4,4,4,4,4,1,1,1,2,1,1,1,1,2,5,1
"13",1,1,4,3,4,5,4,4,4,4,4,4,4,5,4,4,3,3,4,1,0,0,4,4,4,3,2,0,0,1,3,0,0,"2","2",1,"0","0",NA,NA,3,3,4,4,5,4,4,3,3,4,5,4,4,4,3,1,1,1,2,0,2,2,2,5,1
"14",3,1,5,4,5,5,5,5,5,5,4,5,5,5,5,5,3,3,5,2,0,0,4,4,4,0,3,2,0,1,3,0,1,"9","7",1,"5","0",NA,NA,5,4,5,5,5,5,5,4,3,5,5,5,5,5,1,1,1,2,1,1,1,1,2,1,1
"15",4,1,5,5,5,5,5,5,4,4,4,5,5,4,4,4,4,4,4,1,1,1,4,4,4,3,3,0,1,0,NA,0,0,"3","20",0,"4","3",1,1,3,4,5,5,5,5,5,3,5,5,5,5,5,4,2,2,1,1,1,1,2,1,2,6,1
"16",3,1,2,3,2,3,2,4,4,1,5,3,2,2,2,3,3,4,2,2,1,0,3,2,4,2,2,2,0,1,3,0,1,"9","2",1,"0","1",1,1,1,4,3,2,2,2,3,2,4,2,3,2,4,4,1,1,3,3,1,1,2,1,2,5,1
"17",1,1,5,4,5,5,5,4,4,5,5,5,5,5,5,4,5,3,5,1,0,0,4,4,4,4,4,4,1,1,3,1,1,"5","18",1,"3","4",1,1,5,5,5,4,5,5,4,5,4,5,4,5,4,4,0,2,1,1,2,0,2,1,2,5,1
"18",6,1,4,4,4,4,4,5,5,4,3,5,4,5,4,5,5,3,4,1,1,0,3,3,4,3,3,3,0,1,3,1,1,"0","2",1,"2","3",1,1,4,3,4,4,4,3,4,4,2,4,4,4,5,5,3,1,1,1,1,1,1,1,2,1,1
"19",6,1,4,3,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,1,1,1,4,4,4,0,3,3,0,0,NA,0,1,"2","2",1,"1","2",1,NA,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,2,1,1,1,1,2,1,2,5,1
"20",1,1,4,4,4,4,4,4,4,4,4,4,3,5,5,4,2,3,5,1,1,1,4,4,4,4,2,4,1,1,4,1,1,"4","5",1,"7","2",2,1,4,4,4,4,5,5,4,2,3,5,4,4,4,4,2,2,2,2,2,1,2,1,2,5,1
"21",3,1,3,4,4,4,4,5,5,4,5,5,2,2,4,3,3,5,4,1,1,1,4,4,3,4,3,3,1,1,4,1,0,"20","8",1,"9","2",1,1,4,5,5,2,2,4,3,3,5,4,4,4,5,5,2,1,2,1,1,1,2,1,2,5,1
"22",6,1,4,3,4,5,5,4,5,5,5,3,4,3,4,5,3,2,4,1,1,0,4,4,4,4,4,4,0,0,NA,0,1,"2","6",1,"6","3",1,0,5,5,3,4,3,4,5,3,3,4,4,5,4,5,1,3,1,1,1,1,1,1,2,5,1
"23",4,1,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,1,1,1,4,4,4,4,4,4,1,1,4,1,0,"5 at least","6 or 7",1,"4","2 under review, more in process",2,1,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,2,1,2,5,1
"24",1,1,3,2,3,3,3,3,3,3,2,2,3,2,1,2,4,1,3,1,1,1,4,4,3,2,1,1,0,1,3,0,1,"0","1",1,"2","1",6,1,2,1,3,3,2,2,3,4,1,2,3,3,3,4,3,2,2,3,1,1,2,1,2,5,1
"25",6,1,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,5,5,1,1,0,4,4,4,0,0,0,1,1,3,0,1,"20","2",1,"3","1",7,1,5,5,5,4,4,2,5,5,5,5,4,5,5,5,1,1,1,1,1,1,1,1,2,5,1
"26",1,1,4,4,4,4,4,3,5,4,3,5,4,3,3,4,5,3,4,1,1,0,4,3,4,4,2,3,1,1,4,0,1,"13","7",1,"0","1",1,1,4,3,4,3,3,2,3,4,2,3,4,4,4,4,2,1,2,2,1,0,2,1,2,5,1
"27",1,0,5,3,4,5,4,2,3,4,4,3,4,4,5,4,3,2,4,1,1,0,4,4,4,4,4,4,1,1,4,0,1,"0","6",1,"2","0",NA,NA,4,4,3,4,5,5,4,3,2,3,5,4,3,2,2,1,1,1,1,1,1,1,2,5,1
"28",6,1,3,3,3,4,4,4,5,3,4,3,3,4,3,2,3,4,3,1,1,0,3,3,3,4,3,4,1,1,4,1,1,"5","6",1,"2","1",7,1,3,4,2,3,4,3,2,3,4,3,4,4,4,5,2,1,3,2,1,1,1,1,2,5,1
"29",1,0,2,2,2,3,3,3,4,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,1,1,1,1,3,0,1,"0","16",1,"1","0",NA,NA,2,2,2,2,2,2,2,2,1,2,3,3,3,4,2,2,3,2,2,1,2,1,2,5,1
"30",1,1,3,4,4,2,4,5,5,3,2,2,1,2,2,4,5,4,3,1,1,0,4,4,4,4,0,4,0,1,1,1,1,"0","5",1,"5","2",NA,1,3,2,2,3,2,2,3,5,5,3,2,4,4,5,1,1,1,2,1,1,1,1,2,4,1
"31",1,1,5,4,5,5,4,3,3,4,4,4,5,5,5,4,3,3,5,0,1,1,4,4,4,4,4,4,1,1,1,0,1,"3","2",0,"1","1",4,1,4,4,4,5,5,5,5,5,5,5,5,4,3,3,2,2,2,3,2,1,2,1,2,5,1
"32",3,1,1,2,1,1,4,3,5,1,3,1,3,1,1,3,3,1,2,1,1,1,2,2,2,1,1,1,0,1,2,1,1,"5","4",1,"10","5",4,1,1,4,1,2,2,1,2,3,1,1,1,3,2,4,3,3,2,2,1,1,3,1,2,6,1
"33",1,0,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,4,0,4,1,1,4,1,1,"3","10",1,"3","1",2,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,3,1,1,2,0,2,1,2,5,1
"34",3,1,4,4,4,4,5,5,5,4,5,5,4,4,4,4,4,5,4,1,1,1,4,4,4,4,4,4,1,1,3,1,0,"10","3",1,"3","0",NA,1,4,5,5,4,4,4,4,4,4,4,4,4,4,4,2,0,1,1,1,0,2,1,2,5,1
"35",1,1,3,3,NA,4,4,3,4,3,2,4,4,4,4,3,2,1,3,1,1,0,4,4,4,3,3,3,0,1,4,0,1,"0","4",1,"3","1",5,1,4,3,4,3,4,4,3,2,1,3,4,4,3,4,1,1,2,2,1,1,2,1,2,5,1
"36",1,1,5,5,5,4,4,4,5,5,5,5,3,3,3,3,3,3,3,2,1,1,4,4,4,4,4,4,0,1,3,1,1,"5","8",1,"6","0",1,1,5,5,5,3,3,5,4,3,4,4,5,5,4,5,1,1,1,2,2,1,1,1,2,5,1
"37",1,0,4,2,3,5,5,4,4,4,5,4,4,4,3,3,4,3,4,1,1,0,4,4,2,0,0,0,1,1,4,1,0,"5","3",1,"1","0",4,1,4,5,4,5,4,3,4,4,3,4,5,5,4,4,1,1,2,1,1,1,1,1,2,5,1
"38",6,1,4,3,4,5,4,4,4,3,3,4,3,4,3,4,2,1,4,1,1,1,3,3,2,1,1,0,1,1,3,1,1,"2","1",1,"0","0",NA,1,3,3,4,3,4,1,3,3,1,4,5,4,4,4,1,1,3,1,1,0,1,1,2,5,1
"39",3,1,4,3,3,4,4,3,4,3,4,3,3,4,3,4,5,4,4,0,1,0,4,3,2,0,0,0,1,0,NA,0,0,"4","2",2,"0","1",4,1,3,4,3,3,4,3,3,5,4,4,4,4,4,4,1,1,2,2,1,1,1,1,2,5,1
"40",6,1,4,4,4,4,4,4,5,4,5,5,4,4,4,5,2,4,4,1,1,0,4,3,4,3,0,3,1,1,3,1,1,"8","10",1,"1","2",2,0,4,5,5,4,4,4,5,2,4,4,4,4,4,5,2,2,1,2,1,1,1,1,2,5,1
"41",1,1,4,2,3,4,3,3,5,4,5,5,5,4,3,3,4,3,4,1,0,1,4,4,4,4,0,3,1,0,NA,0,1,"8","20",1,"5","2",2,1,4,5,5,4,4,4,3,4,4,4,3,4,3,5,1,2,3,2,2,1,1,1,2,5,1
"42",1,0,4,2,3,4,3,3,4,3,5,4,3,3,5,3,2,1,4,1,0,0,4,4,4,4,2,3,1,1,3,0,1,"0","5",1,"0","0",2,1,3,5,4,3,3,5,4,3,2,3,4,3,3,4,3,1,1,2,2,0,2,1,2,5,1
"43",1,1,5,4,5,4,4,4,4,5,5,5,4,4,4,5,5,4,5,1,1,1,0,0,4,0,0,0,0,0,NA,1,0,"3","7",2,"3","1",4,1,5,5,5,4,4,4,5,5,4,5,4,4,4,4,2,1,1,1,1,1,1,1,2,5,1
"44",6,1,3,4,3,4,4,2,3,3,5,3,3,3,4,3,3,1,3,1,0,0,4,4,4,0,4,3,0,1,1,1,1,"3","1",1,"6","5",9,1,3,5,3,3,3,4,3,3,2,3,3,4,2,3,2,1,1,2,2,1,1,1,2,5,1
"45",1,0,4,2,4,4,4,4,4,4,5,4,4,3,4,3,3,2,4,1,1,0,3,3,3,2,2,2,0,1,2,0,1,"4","5",1,"2","0",5,1,4,5,4,4,3,4,4,3,2,4,4,4,4,4,2,1,2,2,1,1,2,1,2,5,1
"46",1,0,5,5,5,5,5,5,5,4,4,5,4,4,3,3,4,3,4,1,1,1,4,4,4,3,3,3,1,1,4,0,0,"2","10",0,"3","2",2,1,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,2,1,1,1,1,1,1,2,5,1
"47",2,0,5,3,5,4,5,5,5,5,5,5,5,5,5,3,2,4,5,2,1,0,4,4,4,4,4,4,1,1,4,1,1,"5","10",1,"6","2",2,1,5,5,5,5,5,5,2,2,3,5,4,5,5,5,1,1,2,2,2,1,2,1,2,5,1
"48",1,1,3,3,3,4,4,4,4,4,5,4,3,2,4,4,4,4,3,1,1,1,3,2,2,3,0,0,1,1,3,1,1,"2","12",1,"21","1",NA,1,4,5,4,2,3,3,4,4,4,3,4,4,5,5,1,1,1,2,2,1,1,1,2,5,1
"49",1,1,2,2,2,3,1,2,3,1,3,2,2,2,2,2,1,4,2,1,1,1,4,4,4,4,4,3,1,1,3,0,1,"4","5",1,"0","0",5,1,1,2,2,2,2,2,2,1,3,2,2,2,2,3,3,2,1,2,1,0,2,1,2,5,1
"50",1,0,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,3,4,1,1,0,3,3,4,3,3,3,1,1,4,0,0,"0","5",0,"0","0",6,NA,4,4,4,4,5,4,4,3,3,4,5,5,5,5,2,3,1,1,1,1,2,1,2,5,1
"51",3,1,4,3,4,5,5,5,5,3,4,3,3,3,4,3,4,5,3,1,0,0,3,4,3,4,4,3,1,0,NA,0,0,"4","1",1,"1","3",2,1,3,4,3,3,3,4,3,4,5,3,5,5,5,5,2,2,3,2,2,1,2,1,2,5,1
"52",3,1,2,2,2,3,4,3,5,4,3,1,1,2,2,1,5,1,2,1,1,0,0,4,4,0,0,0,1,0,NA,0,0,"5","4",1,"3","3",4,1,4,4,2,2,2,1,1,4,1,2,3,4,3,5,3,2,3,1,1,0,2,1,2,5,1
"53",3,1,3,2,3,4,4,4,5,3,4,4,3,4,2,2,5,2,3,2,1,0,4,4,4,3,3,3,1,1,4,1,0,"3","4",1,"2","0",7,1,3,4,4,3,4,2,2,4,2,3,4,4,4,5,1,1,2,2,1,1,2,1,2,5,1
"54",NA,0,4,2,4,5,4,4,4,4,3,4,3,4,5,4,4,3,4,1,1,1,4,4,4,4,3,3,0,0,NA,1,1,"1","5",1,"2","0",4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,2,1,2,1,1
"55",1,1,2,2,2,3,3,3,4,3,4,3,2,2,3,5,2,2,3,1,1,1,4,4,4,4,4,4,1,1,3,1,1,"0","8",1,"7","3",1,1,3,4,3,2,2,4,4,2,3,3,3,3,3,4,3,1,2,2,2,1,2,1,2,5,1
"56",5,0,5,4,4,5,5,5,5,4,3,5,5,5,4,4,3,3,4,1,1,1,3,3,4,3,0,3,0,1,3,1,1,"3","5",1,"3","0",3,1,4,3,5,5,5,4,4,3,3,4,5,5,5,5,2,3,2,1,1,0,2,1,2,5,1
"57",6,1,3,4,3,4,4,4,4,4,4,4,3,3,3,3,4,1,3,1,1,0,3,3,4,3,3,3,0,1,3,1,0,"2","3",1,"0","0",1,1,4,4,4,3,3,3,3,4,3,3,4,4,4,4,1,1,2,2,1,2,2,1,2,1,1
"58",4,0,4,4,4,5,4,4,3,4,5,5,3,5,4,4,3,3,4,2,1,1,4,4,4,4,4,4,1,1,4,0,1,"1","11",1,"11","5",4,1,4,4,5,4,5,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,1,2,1,1
"59",5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,1,1,1,4,4,4,3,4,3,1,1,4,1,1,"0","0",2,"0","0",2,1,4,5,5,4,4,4,4,4,4,4,5,5,5,5,3,3,1,1,1,1,1,1,2,1,1
"60",6,1,3,3,4,4,4,4,4,3,3,4,3,3,2,2,4,1,3,1,1,0,2,2,3,0,0,0,0,1,1,0,1,"5","5",1,"2","0",7,1,3,3,4,3,3,2,3,4,2,3,4,4,4,4,1,2,2,1,1,1,1,1,2,1,1
"61",1,1,2,2,2,4,3,4,5,2,4,2,1,4,2,2,1,3,2,1,1,0,3,3,4,3,0,2,1,1,4,0,1,"0","14",1,"2","1",2,1,1,4,2,1,4,2,1,1,3,2,3,2,3,5,1,2,2,2,3,1,1,1,2,5,1
"62",1,1,4,5,5,4,4,5,5,5,5,4,3,4,4,4,5,5,4,1,1,1,4,4,0,2,2,3,1,1,4,1,1,"0","3",0,"12","1",9,1,5,4,5,5,5,4,4,5,5,5,5,5,5,5,1,2,1,1,1,1,2,2,2,1,1
"63",1,1,5,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,5,1,1,1,4,4,4,4,4,4,1,1,4,0,0,"1","11",1,"4","2",2,1,4,5,5,5,5,5,5,4,5,5,5,5,5,4,2,2,1,2,1,0,2,1,2,5,1
"64",5,0,5,4,4,4,4,3,4,4,5,5,4,4,5,4,4,2,4,1,1,0,4,4,4,2,2,3,0,1,3,0,1,"10","8",1,"4","1",2,1,4,5,5,4,4,5,4,4,2,4,4,4,3,4,3,1,1,1,1,1,2,1,2,5,1
"65",1,1,3,3,3,3,3,4,5,4,5,4,2,2,3,3,3,3,3,1,1,1,4,4,4,4,4,3,0,1,3,0,1,"4","5",0,"13","3",4,1,4,5,4,3,2,3,4,3,2,3,3,3,4,4,3,1,2,3,2,0,2,1,2,5,1
"66",1,1,5,3,4,4,4,4,4,4,4,4,5,5,4,2,3,2,4,1,1,1,4,3,4,3,2,2,0,1,2,1,1,"5","1",1,"3","1",1,1,4,4,4,4,4,4,5,5,3,4,3,5,4,4,3,2,2,1,1,1,2,1,2,5,1
"67",1,0,5,3,4,5,5,5,5,4,3,4,5,5,5,5,4,3,5,1,1,1,4,4,4,4,0,0,1,0,NA,0,0,"2","6",1,"4","1",6,1,3,5,4,5,5,5,5,4,4,5,5,5,5,5,3,0,1,1,2,1,2,1,2,5,1
"68",1,1,3,3,3,3,2,2,3,2,1,2,4,2,2,4,2,3,2,1,1,0,3,2,2,3,0,0,1,1,2,0,1,"1","7",1,"6","0",4,1,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,3,2,2,1,0,2,1,2,5,1
"69",1,0,4,3,4,5,5,4,5,4,3,5,4,5,3,3,5,3,4,1,0,0,4,4,4,3,3,3,1,1,4,0,0,"0","0",2,"0","0",8,1,4,3,4,4,5,3,3,5,3,4,5,5,4,5,1,1,2,2,1,1,1,1,2,5,1
"70",1,1,3,NA,2,4,4,3,3,3,5,3,3,3,3,1,1,3,3,0,0,0,3,3,3,3,2,4,0,1,4,0,1,"10","15",1,"5","1",1,0,2,4,3,2,2,2,2,2,3,3,3,4,3,4,2,1,2,2,2,1,2,1,2,5,1
"71",4,0,3,2,3,4,4,2,3,3,5,4,3,4,3,4,1,3,3,NA,1,0,3,3,4,4,2,2,1,1,3,1,0,"10","30",1,"20","3",NA,1,3,5,4,3,4,2,4,1,3,3,3,3,2,3,2,2,3,3,3,0,2,1,2,5,1
"72",3,1,4,4,4,3,4,4,5,4,4,4,3,2,4,3,4,3,3,1,1,0,4,4,4,4,4,3,1,1,3,0,1,"12","2",1,"7","0",1,1,4,4,4,3,2,3,2,4,2,3,3,3,3,4,1,2,2,1,1,1,2,1,2,5,1
"73",1,1,2,2,2,2,3,3,4,1,2,1,2,2,1,3,1,1,2,1,1,0,4,4,1,4,1,2,1,1,3,1,1,"12","2",1,"0","0",2,1,1,2,1,2,2,2,2,2,1,2,2,3,3,4,1,1,3,1,1,1,2,1,2,5,1
"74",1,1,5,5,5,4,4,4,4,4,3,5,4,4,5,5,5,4,5,1,1,1,4,4,4,4,4,4,0,1,4,0,1,"0","30",1,"35","5",4,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,1,1,2,5,1
"75",6,1,4,3,2,2,3,2,4,3,5,4,3,4,2,2,2,2,3,1,1,0,2,1,2,1,1,1,0,1,2,1,1,"3","3",1,"3","1",7,NA,4,5,5,4,4,2,2,2,3,3,2,3,3,4,1,1,2,3,2,1,1,1,2,5,1
"76",1,1,3,2,3,4,4,3,4,4,5,3,3,4,2,3,4,3,3,1,1,1,4,4,3,0,4,0,0,1,2,0,1,"1","2",1,"0","2",1,1,4,5,3,3,4,2,3,4,3,3,4,4,3,4,2,2,2,2,3,0,2,1,2,5,1
"77",1,1,3,4,3,4,3,4,4,3,5,4,3,4,1,3,3,2,2,2,1,0,2,2,2,2,1,1,1,1,3,1,0,"4","4",1,"1","0",1,1,3,5,4,3,3,2,3,3,2,2,4,3,4,4,1,1,3,1,1,1,1,1,2,5,1
"78",1,1,4,4,4,4,4,4,4,4,3,4,2,4,5,4,2,2,3,1,1,1,4,4,4,4,4,0,1,1,3,1,0,"12","1",0,"2","0",1,1,3,4,3,2,4,4,3,2,2,3,4,4,4,4,3,2,1,2,2,0,2,1,2,5,1
"79",2,0,5,2,5,4,4,4,5,4,5,5,4,4,5,4,5,3,4,1,1,0,4,4,4,4,4,4,1,1,4,1,1,"3 (* 1 held on zoom; 2 were practice job talks, the other was my dissertation prospectus defense)","12",1,"3","3",2,1,4,5,5,4,4,5,4,5,4,4,4,4,4,5,2,2,1,1,1,1,2,1,2,5,1
"80",6,1,4,3,4,5,5,5,5,3,2,4,4,4,5,3,3,5,4,1,1,1,3,4,4,3,3,0,0,1,4,1,1,"3","1",2,"2","2",7,1,3,2,4,4,4,5,4,3,5,4,5,5,5,5,1,1,1,1,1,0,2,1,2,5,1
"81",1,0,5,3,3,5,5,5,5,1,5,1,5,5,5,4,5,3,5,1,1,1,4,4,4,4,4,3,1,1,3,1,1,"3","2",1,"0","0",2,1,1,5,1,5,5,5,4,5,3,5,5,5,5,5,3,1,1,1,1,1,2,1,2,5,1
"82",1,0,5,5,5,4,5,5,5,5,3,5,5,5,5,4,4,3,4,2,1,0,4,4,4,3,3,3,1,1,4,0,0,"0","4",0,"0","1",2,1,5,3,5,5,5,5,5,4,4,4,4,5,5,5,3,2,2,2,0,0,1,1,2,5,1
"83",1,1,4,3,4,4,4,4,4,3,4,2,5,5,5,5,5,3,4,1,1,0,4,4,4,4,4,4,0,1,4,1,1,"0","1",1,"1","2",5,NA,3,4,3,5,5,5,5,5,3,3,4,4,4,4,2,1,1,1,1,1,2,1,2,5,1
"84",4,0,1,2,1,2,1,3,2,2,5,2,2,3,2,2,3,3,2,1,0,0,0,0,2,1,3,1,1,1,4,0,1,"4","8",1,"6","1",2,1,1,5,1,1,3,1,1,3,1,1,1,1,3,2,3,1,2,3,1,0,2,1,2,5,1
"85",1,0,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,2,1,0,4,4,4,4,4,4,1,1,4,1,0,"2","3",1,"2","0",4,1,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,1,2,1,2,5,1
"86",4,0,3,2,3,4,3,3,3,4,3,4,2,2,4,2,2,4,3,2,1,0,4,4,4,3,0,4,1,0,NA,0,0,"4","10",0,"23","4",NA,1,4,4,3,2,2,4,3,3,4,3,4,3,3,3,2,2,3,2,2,1,2,1,2,5,1
"87",1,1,2,5,4,5,4,5,5,4,4,4,4,3,5,3,4,5,4,1,1,1,4,4,4,4,4,4,1,1,3,0,1,"6","6",0,"0","0",5,1,4,4,4,4,3,5,4,4,5,4,5,4,5,5,2,1,1,2,1,1,1,1,2,5,1
"88",1,1,4,4,4,5,5,5,5,4,4,5,5,4,4,4,5,4,4,1,1,1,4,4,4,4,4,4,1,1,4,0,1,"13","4",1,"4","2",1,1,4,4,5,5,4,4,4,5,4,4,5,5,5,5,1,2,2,2,1,0,1,1,2,5,1
"89",1,0,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,2,0,0,4,4,4,4,4,0,0,1,4,0,0,"0","6",1,"1","0",6,NA,4,4,5,5,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,0,2,1,2,5,1
"90",1,0,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,5,1,1,1,4,4,4,4,4,4,1,1,3,0,1,"1","15",1,"9","0",4,1,4,4,4,4,5,5,4,3,4,5,4,4,4,4,2,2,2,2,2,0,1,1,2,5,1
"91",4,1,4,4,4,5,5,4,5,4,5,5,5,5,4,4,3,2,4,1,1,1,3,4,4,2,2,2,1,1,4,0,0,"3","1",2,"0","3",5,1,4,4,5,5,5,4,4,3,2,4,4,5,3,5,2,2,1,2,2,0,2,1,2,5,1
"92",1,1,4,4,4,4,4,4,5,4,3,4,4,5,5,5,3,1,4,1,1,1,4,4,4,4,2,2,1,1,3,0,1,"0","11",1,"11","0",1,1,4,3,4,4,4,5,5,3,1,4,4,4,4,5,1,2,2,1,1,0,2,1,2,5,1
"93",1,0,4,4,4,3,4,3,4,4,4,3,3,4,5,4,3,4,4,1,1,1,4,4,4,4,3,3,1,1,4,1,1,"2","11",1,"4","0",2,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,0,2,1,2,5,1
"94",1,1,4,3,3,4,4,4,5,3,4,4,3,4,5,4,5,4,4,2,1,1,4,4,4,3,3,4,NA,1,4,0,1,"8","9",1,"6","1",2,1,3,4,3,3,3,5,4,5,4,4,4,4,4,4,2,3,1,1,1,1,2,1,2,5,1
"95",NA,0,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,4,1,1,1,4,4,4,4,0,4,0,1,4,0,1,"4","5",1,"3","0",2,1,5,5,5,3,4,4,4,4,5,5,5,5,5,5,1,2,1,1,1,1,1,1,2,5,1
"96",1,1,2,1,1,2,2,2,2,1,3,1,2,2,1,2,2,2,2,2,0,0,2,1,1,0,0,2,1,1,4,0,1,"1","2",2,"1","0",1,1,1,3,1,2,3,1,3,2,1,2,2,2,2,2,2,1,3,2,2,0,1,1,2,5,1
"97",1,0,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,1,1,1,4,4,4,3,0,3,1,1,4,0,0,"3","13",1,"0","0",2,1,4,5,4,4,4,3,3,2,2,3,4,3,3,4,1,2,2,2,1,1,1,2,2,5,1
